title,subtitle,link
"RAISE THE BAR
Rise, fall and rise again of Ousmane Dembele, from Barcelona flop who didn't know his strong foot to Ballon d'Or winner","RAISE THE BAR
Rise, fall and rise again of Ousmane Dembele, from Barcelona flop who didn't know his strong foot to Ballon d'Or winner",https://www.thesun.co.uk/sport/36803428/ousmane-dembele-barcelona-strong-foot-ballon-dor/
D'OR BLIMEY,"Bayern legend Lothar Matthaus, 64, takes 26-year-old girlfriend to Ballon d'Or",https://www.thesun.co.uk/sport/36804899/lothar-matthaus-girlfriend-theresa-sommer-ballon-dor/
ARE YA JOKING,Yamal's dad launches furious attack on 'theft' of son's Ballon d'Or snub,https://www.thesun.co.uk/sport/36805229/lamine-yamal-dad-attack-ballon-dor-rant/
GUNNER BLOW,Noni Madueke injury update with Arsenal star set for lengthy layoff,https://www.thesun.co.uk/sport/36805756/noni-madueke-injury-arsenal-lengthy-layoff/
'LONG ROAD',Ex-Arsenal starlet in induced coma after suffering 'brain injury' in match,https://www.thesun.co.uk/sport/36802531/arsenal-billy-vigar-induced-coma-injury-update/
CAMPER,"Win a VW Campervan or £40,000 cash alternative from just 20p with our code",https://www.thesun.co.uk/sport/22922880/win-car-competition-7dp/
"ENZ GAMES
How Ruben Amorim's chess move with De Ligt outsmarted Enzo Maresca to hand Man Utd win over Chelsea","ENZ GAMES
How Ruben Amorim's chess move with De Ligt outsmarted Enzo Maresca to hand Man Utd win over Chelsea",https://www.thesun.co.uk/sport/36801969/ruben-amorim-de-ligt-man-utd-chelsea-tactics-exposed/
"STUNNING LINE-UP
Kate Scott stuns in low cut dress as she joins stars including Chloe Kelly and Maria Guardiola on Ballon d'Or red carpet","STUNNING LINE-UP
Kate Scott stuns in low cut dress as she joins stars including Chloe Kelly and Maria Guardiola on Ballon d'Or red carpet",https://www.thesun.co.uk/sport/36802271/kate-scott-dress-wags-celebs-ballon-dor/
OUS THE MAN,Dembele WINS Ballon d'Or after finally breaking PSG's Champions League hoodoo,https://www.thesun.co.uk/sport/36801487/ballon-dor-winner-ousmane-dembele/
BALLON D'OR 2025,Dembele breaks down in TEARS after stunning transformation into PSG hero,https://www.thesun.co.uk/sport/36723852/ballon-dor-2025-live-results-ousmane-dembele-updates/
GROUNDED,Legendary stadium set to miss out on hosting Euros as clubs look to tear it down,https://www.thesun.co.uk/sport/36804382/san-siro-stadium-euros-wembley-inter-milan-marotta/
HAIR-BRAINED,Man U fan who won't cut hair until they win 5 in a row opens up on fan attack,https://www.thesun.co.uk/sport/36803167/frank-ilett-man-utd-fan-challenge-reacts-hair-attack/
WELCOME OFFER,Get a £50 welcome bonus when you join Sun Vegas and spend £10,https://www.thesun.co.uk/sun-bingo/23376227/welcome-offer-sun-vegas-bonus/
"MIXED FORTUNES
Worried about the future, Ruben? Under-pressure Man Utd boss Amorim spotted next to sign advertising psychic","MIXED FORTUNES
Worried about the future, Ruben? Under-pressure Man Utd boss Amorim spotted next to sign advertising psychic",https://www.thesun.co.uk/sport/36799737/ruben-amorim-man-utd-wife-advertising-psychic/
LEAN MACHINE,Bellingham body transformation as Real Madrid 'tell star to lose muscle',https://www.thesun.co.uk/sport/36798216/jude-bellingham-real-madrid-transformation/
AS TO GO,Emery ally Monchi to LEAVE Aston Villa after dismal start to season,https://www.thesun.co.uk/sport/36804610/unai-emery-ally-monchi-quits-aston-villa-dismal-start/
OH BROTHER,Garnacho's controversial brother fat-shames woman who trolled him over Chelsea,https://www.thesun.co.uk/sport/36799562/alejandro-garnacho-chelsea-man-utd-brother/
BIG FAN,FanTeam bonus: Get £20 free bets when you sign-up and bet £10 on football,https://www.thesun.co.uk/sport/36472467/fanteam-welcome-bonus-offer-free-bets-football/
NEW DAV,Why Lammens may be better than De Gea for Man Utd but he has big question mark,https://www.thesun.co.uk/sport/36805982/senne-lammens-david-de-gea-man-utd/
EZE DOES IT,"Dream Team winner reveals how he won £50,000 and offers advice for season ahead",https://www.thesun.co.uk/sport/football/dream-team/36193767/dream-team-winner-advice-fantasy-football-eze-gvardiol/
BONUS BALL,Moises Caicedo now leads Dream Team for both tackles and bonus points,https://www.thesun.co.uk/sport/football/dream-team/36713656/chelsea-moises-caicedo-fantasy-football-tackles-bonus-points/
NEW DAWN,Postecoglou appointment will drastically impact Forest's Dream Team performance,https://www.thesun.co.uk/sport/football/dream-team/36629042/ange-postecoglou-nottingham-forest-fantasy-football-premier-league/
"MAR TO COME
Gabriel Martinelli's 'mystic' girlfriend's incredible message to him before Arsenal equaliser vs Man City emerges","MAR TO COME
Gabriel Martinelli's 'mystic' girlfriend's incredible message to him before Arsenal equaliser vs Man City emerges",https://www.thesun.co.uk/sport/36793855/gabriel-martinelli-girlfriend-arsenal-man-city/
'ELITE FOOTBALL IQ',Maguire spotted engaging in dark arts after being subbed vs Chelsea,https://www.thesun.co.uk/sport/36797911/harry-maguire-chelsea-man-utd-premier-league/
LOOKING FOR THE ONE,Man Utd prioritise top keeper transfer despite Senne Lammens' arrival,https://www.thesun.co.uk/sport/36799600/man-utd-senne-lammens-andre-onana/
UNAI'S THE VILLAIN,Villa fans alarmed by Emery's antics after he breaks manager etiquette,https://www.thesun.co.uk/sport/36794407/aston-villa-fans-unai-emery-sunderland/
NET LOSS,Man Utd had solution to keeper crisis staring at them but sold him for just £15m,https://www.thesun.co.uk/sport/36803608/man-utd-goalkeeper-crisis-solution-sold-15m-dean-henderson/
SHIRT CHANGED,Gianluigi Donnarumma plays entire Man City clash in cheap replica shirt,https://www.thesun.co.uk/sport/36804190/gianluigi-donnarumma-man-city-replica-shirt-andre-onana/
MEGA DEAL,Football free bets: Get £40 welcome bonus when you stake £10 with William Hill,https://www.thesun.co.uk/sport/28298909/free-bets-football-william-hill/
EXCLUSIVE,BetMGM Casino welcome offer: Up to £200 extra+100 free spins on Big Bass Splash,https://www.thesun.co.uk/betting/35478540/exclusive-betmgm-casino-offer/
SUPER OFFER,Get £30 in football free bets when you join Midnite and stake £10,https://www.thesun.co.uk/sport/36092883/midnite-welcome-bonus-offer-free-bets-join/
"GYOK AND LOADED
Arsenal fans refuse to slam Gyokeres for shoddy performance against Man City and lay the blame with Arteta","GYOK AND LOADED
Arsenal fans refuse to slam Gyokeres for shoddy performance against Man City and lay the blame with Arteta",https://www.thesun.co.uk/sport/36792508/arsenal-viktor-gyokeres-man-city-performance-mikel-arteta/
HA HAA,Haaland laughs off Arsenal fan abuse as he shares video of kids' crude taunts,https://www.thesun.co.uk/sport/36794217/erling-haaland-arsenal-man-city/
PALM READER,Maresca issues Palmer injury update as he's forced off after 20 mins vs Man utd,https://www.thesun.co.uk/sport/36796787/enzo-maresca-cole-palmer-injury-chelsea-man-utd/
ED'S GONE,Rooney reveals Man Utd legend would sit 'as far away from us as possible' on bus,https://www.thesun.co.uk/sport/36796130/wayne-rooney-man-utd-edwin-van-der-sar/
WREX BOMB,Former England star 'earning £500k NOT to play for Wrexham for rest of the year',https://www.thesun.co.uk/sport/36794699/england-jay-rodriguez-500k-not-play-wrexham/
SHOCK RESIGNATION,Chelsea legend's son quits as manager of Yeovil after just 10 days,https://www.thesun.co.uk/sport/36796391/chelsea-david-danny-webb-yeovil/
"SHIRT 'N SWEET
England's kit for World Cup 2026 LEAKED with FA chiefs choosing safe look after fan fury over woke design for Euro 2024","SHIRT 'N SWEET
England's kit for World Cup 2026 LEAKED with FA chiefs choosing safe look after fan fury over woke design for Euro 2024",https://www.thesun.co.uk/sport/36788813/englands-kit-world-cup-fa-euro-2024/
ISLAND IN THE TEAM,Prem transfer secrets revealed including Liverpool's Ibiza test,https://www.thesun.co.uk/sport/36789070/premier-league-transfer-secrets-liverpool-arsenal/
NU MAN IN TOWN?,Nuno open to swift return with Potter's West Ham future increasingly bleak,https://www.thesun.co.uk/sport/36792000/west-ham-nuno-espirito-santo-manager-graham-potter/
MARC HIS TERRITORY,Guehi 'tells advisors he wants Real Madrid move' as passport may be KEY,https://www.thesun.co.uk/sport/36789675/marc-guehi-real-madrid-liverpool-transfer/
STARTER FOR TEN,The best online casinos for free spins and bonuses from £10 deposits,https://www.thesun.co.uk/betting/30944508/best-online-casino-free-spins-bonuses-10-deposits/
TOP DEALS,Best casino bonus and welcome offers for UK players (September 2025),https://www.thesun.co.uk/betting/34614926/best-casino-sign-up-bonus/
RATED,Best online casinos | Top 20 UK casino sites (September 2025),https://www.thesun.co.uk/betting/32855412/best-online-casinos-uk/
"WRONG DIRECTION
Mikel Arteta is making glaring Arsenal error Sir Alex Ferguson, Pep Guardiola and Arne Slot wouldn't dream of making","WRONG DIRECTION
Mikel Arteta is making glaring Arsenal error Sir Alex Ferguson, Pep Guardiola and Arne Slot wouldn't dream of making",https://www.thesun.co.uk/sport/36792046/mikel-arteta-arsenal-sir-alex-ferguson-pep-guardiola-arne-slot/
FUL SCHEDULE,"Premier League stadium with 29,000-capacity could stage six concerts a year",https://www.thesun.co.uk/sport/36797003/premier-league-craven-cottage-fulham/
ARSENAL 1 MAN CITY 1,Martinelli sends Emirates Stadium wild with sublime last-gasp leveller,https://www.thesun.co.uk/sport/36791085/arsenal-manchester-city-erling-haaland/
AMAD MAD WORLD,Man Utd's Amad deletes ALL Instagram posts after photo with Garnacho,https://www.thesun.co.uk/sport/36788690/amad-deletes-instagram-posts-garnacho-photo-man-utd-chelsea/
FOOTING THE BIL,Axed Prem boss fave to take over at West Ham as ex-boss Bilic also in hunt,https://www.thesun.co.uk/sport/36786605/next-west-ham-manager-odds-potter-bilic/
UNDER PAR,Former Tottenham chief Paratici slapped with 18-month suspended prison sentence,https://www.thesun.co.uk/sport/36799865/fabio-paratici-prison-sentence-juventus-scandal-tottenham/
ENZ OF THE LINE,Mount and Fernandez pulled apart in Man Utd v Chelsea as feud escalates,https://www.thesun.co.uk/sport/36789332/mason-mount-enzo-fernandez-pulled-apart-man-utd-chelsea/
CLEVER MOVE,Bergvall breaks little-known Prem rule vs Brighton but avoids yellow card,https://www.thesun.co.uk/sport/36790044/tottenham-lucas-bergvall-premier-league/
SHAW THING,Luke Shaw breaks silence after Keane's criticism that he is 'stealing a living',https://www.thesun.co.uk/sport/36793186/luke-shaw-roy-keane-man-utd-criticism-response/
DAVE KIDD,"Prem clubs could soon start scramble for Kane, but talent's still not recognised",https://www.thesun.co.uk/sport/36803066/premier-league-harry-kane-transfer-england/
TROY DEENEY,Liverpool are like prime Mike Tyson this season and they could get even better,https://www.thesun.co.uk/sport/36781103/liverpool-mike-tyson-troy-deeney-alexander-isak/
KARREN BRADY,Ivan Toney and Cristiano Ronaldo left me gobsmacked with Saudi Arabia claim,https://www.thesun.co.uk/sport/36780778/ivan-toney-cristiano-ronaldo-saudi-arabia-karren-brady/
